Checking virtualization provider installation
OK: clab installed and working correctly
Stopping clab nodes
provider clab: executing flock -E 42 /tmp/netlab.lock sudo -E containerlab destroy --cleanup -t clab.yml
11:42:59 INFO Removed container name=clab-ml-17-H6-42
11:42:59 INFO Removed container name=clab-ml-17-H6-30
11:42:59 INFO Removed container name=clab-ml-17-H1-48
11:42:59 INFO Removed container name=clab-ml-17-H2-25
11:42:59 INFO Removed container name=clab-ml-17-H1-31
11:42:59 INFO Removed container name=clab-ml-17-H3-25
11:42:59 INFO Removed container name=clab-ml-17-H3-50
11:42:59 INFO Removed container name=clab-ml-17-H6-16
11:42:59 INFO Removed container name=clab-ml-17-H5-36
11:42:59 INFO Removed container name=clab-ml-17-H6-21
11:42:59 INFO Removed container name=clab-ml-17-H3-16
11:42:59 INFO Removed container name=clab-ml-17-H5-13
11:42:59 INFO Removed container name=clab-ml-17-H1-16
11:43:00 INFO Removed container name=clab-ml-17-H1-44
11:43:00 INFO Removed container name=clab-ml-17-H1-46
11:43:00 INFO Removed container name=clab-ml-17-H6-27
11:43:00 INFO Removed container name=clab-ml-17-H6-48
11:43:00 INFO Removed container name=clab-ml-17-H2-40
11:43:00 INFO Removed container name=clab-ml-17-H6-23
11:43:00 INFO Removed container name=clab-ml-17-H3-12
11:43:00 INFO Removed container name=clab-ml-17-H5-07
11:43:00 INFO Removed container name=clab-ml-17-H2-42
11:43:00 INFO Removed container name=clab-ml-17-H1-47
11:43:00 INFO Removed container name=clab-ml-17-H4-24
11:43:00 INFO Removed container name=clab-ml-17-H4-21
11:43:01 INFO Removed container name=clab-ml-17-H2-30
11:43:01 INFO Removed container name=clab-ml-17-H3-17
11:43:01 INFO Removed container name=clab-ml-17-H3-45
11:43:01 INFO Removed container name=clab-ml-17-H1-24
11:43:01 INFO Removing host entries path=/etc/hosts
11:43:01 INFO Removing SSH config path=/etc/ssh/ssh_config.d/clab-ml-17.conf
Cleanup configuration files
... removing clab.yml
... removing ansible.cfg
... removing hosts.yml
... removing directory tree group_vars
... removing directory tree host_vars
... removing directory tree node_files
... removing netlab.snapshot.pickle
